,open,high,low,close,volume,trade_count,vwap,symbol
2020-10-29,409.92,418.06,406.46,410.83,22655452,458828,412.245714,TSLA
2020-10-30,406.82,407.5915,379.11,388.04,42587646,997521,389.58018,TSLA
2020-11-02,394.17,406.9799,392.3,400.51,29049202,512521,398.608822,TSLA
2020-11-03,410.0,427.77,406.69,423.9,34355396,607996,420.634951,TSLA
2020-11-04,430.68,435.4,417.1,420.98,32147057,574861,423.728738,TSLA
2020-11-05,428.42,440.0,424.0001,438.09,28414638,526076,433.340299,TSLA
2020-11-06,436.13,436.57,424.28,429.95,21706979,390726,429.614043,TSLA
2020-11-09,440.0,452.5,421.0,421.26,34856935,673356,437.797837,TSLA
2020-11-10,420.0,420.09,396.0301,410.36,30284225,670830,408.172446,TSLA
2020-11-11,416.54,418.695,410.58,417.13,17357922,335036,415.497001,TSLA
2020-11-12,415.22,423.0,409.52,411.76,19940976,395243,415.415825,TSLA
2020-11-13,410.96,412.5319,401.66,408.5,19830514,500953,406.144655,TSLA
2020-11-16,408.75,412.45,404.0868,408.09,26838710,582445,421.996526,TSLA
2020-11-17,460.26,462.0,433.01,441.61,61253328,1216429,447.311462,TSLA
2020-11-18,448.35,496.0,443.5001,486.64,78055533,1470206,475.375957,TSLA
2020-11-19,491.97,508.6112,487.57,499.27,62806684,1129603,499.798853,TSLA
2020-11-20,497.89,502.5,489.06,489.61,32928177,645713,494.355724,TSLA
2020-11-23,503.51,526.0,501.79,521.85,50644659,906056,519.05807,TSLA
2020-11-24,540.57,559.99,526.2,555.38,53642060,1051193,546.63547,TSLA
2020-11-25,550.16,574.0,545.37,574.0,49006809,924437,562.020516,TSLA
2020-11-27,581.84,598.78,578.45,585.76,37561154,783385,590.364296,TSLA
2020-11-30,602.45,607.8,554.51,567.6,63009218,1282811,581.639321,TSLA
2020-12-01,597.85,597.85,572.05,584.76,40383124,793966,583.728189,TSLA
2020-12-02,556.14,571.54,541.21,568.82,47776283,1016400,562.03695,TSLA
2020-12-03,590.88,598.97,582.43,593.38,42552535,843517,591.672944,TSLA
2020-12-04,591.31,599.04,585.5,599.04,29401551,593413,593.618946,TSLA
2020-12-07,605.0,648.7856,603.05,641.76,56311730,1092397,630.818378,TSLA
2020-12-08,625.0,651.28,618.5,649.88,64268769,1202214,636.306645,TSLA
2020-12-09,653.61,654.32,588.0,604.48,71291432,1678949,620.601176,TSLA
2020-12-10,573.85,627.75,566.34,627.07,67084325,1343747,607.812431,TSLA
2020-12-11,614.87,624.0,596.8,609.99,46889974,882491,610.510682,TSLA
2020-12-14,618.28,642.7499,610.2001,639.83,52040701,934550,632.872695,TSLA
2020-12-15,643.15,646.9,623.8,633.25,45224283,809050,636.03676,TSLA
2020-12-16,628.03,632.5,605.0,622.77,42133861,797209,619.915321,TSLA
2020-12-17,628.59,658.82,619.5,655.9,56275864,1032523,642.423046,TSLA
2020-12-18,670.0,695.0,628.54,695.0,234609204,2089725,680.663287,TSLA
2020-12-21,665.95,668.5,646.07,649.86,58063248,1226736,658.902792,TSLA
2020-12-22,647.31,649.88,614.23,640.34,51891142,1150498,631.687679,TSLA
2020-12-23,632.42,651.4999,622.5701,645.98,33172997,643939,642.156858,TSLA
2020-12-24,643.01,666.09,641.0,661.77,22865568,465757,658.508022,TSLA
2020-12-28,674.68,681.4,660.8,663.69,32278861,627137,669.639927,TSLA
2020-12-29,660.86,669.9,655.0,665.99,22910816,465753,662.650078,TSLA
2020-12-30,672.08,696.6,668.3603,694.78,42846121,767894,684.169655,TSLA
2020-12-31,700.0,718.72,691.12,705.67,49650155,915322,707.559345,TSLA
2021-01-04,720.0,744.4899,717.1895,729.77,48671409,952188,731.118131,TSLA
2021-01-05,723.92,740.84,719.2,735.11,32155175,681717,734.044099,TSLA
2021-01-06,758.0,774.0,749.1,755.98,44703325,962707,762.269623,TSLA
2021-01-07,778.25,816.99,775.2,816.04,51499107,1164688,800.593716,TSLA
2021-01-08,856.38,884.49,838.39,880.02,75060528,1799650,866.478925,TSLA
2021-01-11,849.74,854.43,803.6222,811.19,59554860,1652650,832.171551,TSLA
2021-01-12,830.85,868.0,827.34,849.44,46272779,1006728,853.46795,TSLA
2021-01-13,852.66,860.47,832.0,854.41,33312809,776376,846.513598,TSLA
2021-01-14,843.18,863.0,838.75,845.0,31266619,695478,851.464501,TSLA
2021-01-15,850.99,859.9,819.1,826.16,38777628,909533,838.300628,TSLA
2021-01-19,837.74,850.0,833.0,844.55,25367058,611584,840.724299,TSLA
