,open,high,low,close,volume,trade_count,vwap,symbol
2021-01-20,858.71,859.5,837.28,850.45,25665883,627381,849.587955,TSLA
2021-01-21,855.0,855.7199,841.4201,844.99,20613266,486213,847.115338,TSLA
2021-01-22,834.63,848.0,828.62,846.64,20066513,552890,838.590777,TSLA
2021-01-25,855.33,900.4,838.8201,880.8,41148716,971903,873.339802,TSLA
2021-01-26,891.68,895.9,871.6,883.09,23239818,607305,885.846197,TSLA
2021-01-27,870.35,891.5,858.66,864.16,27333955,896055,868.936011,TSLA
2021-01-28,819.45,848.0,801.0,835.43,26383788,935864,831.341042,TSLA
2021-01-29,827.77,842.41,780.1,793.53,35029668,1315024,805.060316,TSLA
2021-02-01,813.43,842.0,795.5601,839.81,25419892,817448,823.420381,TSLA
2021-02-02,845.61,880.5,842.2006,872.79,24347313,712170,869.841359,TSLA
2021-02-03,877.64,878.08,853.0646,854.69,18343510,565774,861.138473,TSLA
2021-02-04,855.0,856.5,833.42,849.99,15812762,488969,844.533129,TSLA
2021-02-05,845.42,864.77,838.97,852.23,18566637,503361,852.551977,TSLA
2021-02-08,870.0,877.77,854.75,863.42,20162538,577775,865.600914,TSLA
2021-02-09,855.7,859.8,841.75,849.46,15157682,537355,849.223905,TSLA
2021-02-10,843.64,844.82,800.02,804.82,36216149,1269213,814.745419,TSLA
2021-02-11,812.34,829.8799,801.725,811.66,21623053,634541,813.720906,TSLA
2021-02-12,801.46,817.33,785.3306,816.12,23768393,822151,800.968856,TSLA
2021-02-16,818.01,821.0,792.44,796.22,19802602,703338,803.631013,TSLA
2021-02-17,778.17,799.84,762.01,798.15,26080058,925853,781.230234,TSLA
2021-02-18,780.9,794.69,776.27,787.38,17960528,563102,786.468944,TSLA
2021-02-19,794.69,796.7899,777.37,781.3,18968255,618580,785.726796,TSLA
2021-02-22,760.88,768.5,710.2,714.5,37270058,1355574,738.855442,TSLA
2021-02-23,661.5,713.6099,619.0,698.84,66706494,2040541,675.480629,TSLA
2021-02-24,711.6,745.0,694.17,742.02,36766966,1004866,722.024299,TSLA
2021-02-25,725.11,737.2066,670.58,682.22,39025072,1292757,701.699745,TSLA
2021-02-26,699.86,706.7,659.51,675.5,41490883,1141069,680.523594,TSLA
2021-03-01,690.11,872.0,685.05,718.43,27236343,820205,706.908037,TSLA
2021-03-02,718.23,721.11,685.0,686.44,23732185,842211,702.218577,TSLA
2021-03-03,687.94,700.7,651.705,653.2,30208266,1046912,675.609582,TSLA
2021-03-04,653.71,873.94,600.0,621.44,65994582,2044218,625.914625,TSLA
2021-03-05,625.61,627.8419,539.49,597.95,89398527,2557912,583.754583,TSLA
2021-03-08,600.49,620.125,558.79,563.0,51787320,1582497,586.799145,TSLA
2021-03-09,608.59,678.09,595.21,673.58,67526655,1857658,645.298549,TSLA
2021-03-10,700.52,717.85,655.06,668.06,60611777,1645356,683.770427,TSLA
2021-03-11,699.72,702.5,677.18,699.6,36253903,1025554,692.437207,TSLA
2021-03-12,668.67,694.88,666.1394,693.73,33615551,1009442,683.434879,TSLA
2021-03-15,694.0,713.18,684.04,707.94,29424572,874727,702.192371,TSLA
2021-03-16,703.42,707.92,671.0,676.88,32195678,930902,691.485896,TSLA
2021-03-17,655.81,703.73,651.01,701.81,40372475,1015368,679.778933,TSLA
2021-03-18,684.64,689.23,652.0,653.16,33381190,1017966,671.756297,TSLA
2021-03-19,647.6,657.23,624.6201,654.87,42923181,1057845,645.638345,TSLA
2021-03-22,684.98,699.62,668.75,670.0,39672224,1058261,686.090552,TSLA
2021-03-23,675.73,677.8,657.51,662.16,30491873,787148,667.877651,TSLA
2021-03-24,668.02,668.02,630.11,630.27,33795293,919140,650.213142,TSLA
2021-03-25,612.06,645.5,609.5,640.39,39227556,958382,629.848983,TSLA
2021-03-26,642.54,643.82,599.89,618.71,33859502,1107683,618.965789,TSLA
2021-03-29,615.75,616.48,596.02,611.29,28753042,941331,606.917087,TSLA
2021-03-30,602.2,637.66,591.01,635.62,39432359,890515,617.836714,TSLA
2021-03-31,646.95,672.0,641.11,667.93,33337386,814053,659.534667,TSLA
2021-04-01,688.67,692.4203,659.42,661.75,35288293,874248,675.897082,TSLA
2021-04-05,708.0,708.16,684.7,691.05,41851500,1056122,697.25735,TSLA
2021-04-06,690.54,696.55,681.37,691.62,28259344,658438,690.336493,TSLA
2021-04-07,686.99,691.38,667.84,670.97,26164665,589423,680.371564,TSLA
2021-04-08,677.88,689.5499,671.645,683.8,23908259,565500,682.666495,TSLA
2021-04-09,677.88,680.97,669.43,677.02,21409521,609310,675.356951,TSLA
2021-04-12,685.39,704.8,682.09,701.1,28514922,765973,698.033078,TSLA
2021-04-13,713.24,763.0,710.83,762.35,43243779,1143851,742.138317,TSLA
2021-04-14,770.56,780.79,728.03,732.73,48380943,1251817,755.284281,TSLA
2021-04-15,743.51,743.69,721.31,738.7,27386795,721771,732.513418,TSLA
2021-04-16,730.2,749.41,724.6,739.395,27305717,727007,736.593191,TSLA
2021-04-19,718.0,725.4,691.8001,714.98,39309333,1001404,708.741548,TSLA
2021-04-20,717.39,737.25,710.685,718.79,34937852,820998,722.209279,TSLA
2021-04-21,704.4,744.84,698.0,743.91,30450439,748605,724.076159,TSLA
2021-04-22,741.37,753.77,718.04,719.69,35564031,860264,734.842109,TSLA
2021-04-23,720.97,737.36,715.46,729.4,29217524,628819,728.878656,TSLA
2021-04-26,740.75,749.3,732.6053,738.2,31026791,877522,736.704552,TSLA
2021-04-27,717.17,724.0,703.3501,704.74,29367169,905340,711.073255,TSLA
2021-04-28,696.41,708.5,693.6,694.4,22039562,690943,699.069447,TSLA
2021-04-29,700.0,702.25,668.5002,677.0,28724535,895420,681.173386,TSLA
2021-04-30,667.77,715.47,666.14,709.44,40715302,1012830,698.75148,TSLA
2021-05-03,703.55,706.0,680.5,684.9,27025002,760534,690.163298,TSLA
2021-05-04,678.5,683.4464,657.701,673.6,29625227,869011,667.47296,TSLA
2021-05-05,681.96,685.2955,667.34,670.94,21878884,564174,674.587961,TSLA
2021-05-06,681.02,681.02,650.0,663.7,27198625,713533,663.09912,TSLA
2021-05-07,665.66,690.0,660.22,672.37,23461071,582218,672.187364,TSLA
2021-05-10,664.8,665.05,627.6101,629.04,31336228,938436,642.189401,TSLA
2021-05-11,599.72,627.0999,595.6,617.2,46433614,1219138,611.752405,TSLA
2021-05-12,602.0,620.41,586.765,589.8903,33206440,980851,601.76191,TSLA
2021-05-13,601.87,606.4599,559.65,571.4,43732749,1287824,579.812626,TSLA
2021-05-14,583.72,592.87,570.46,589.72,32935912,881742,583.383283,TSLA
2021-05-17,575.34,589.73,561.2,576.83,32391095,836608,574.168108,TSLA
2021-05-18,568.48,596.25,563.38,577.87,36831351,829994,582.089305,TSLA
2021-05-19,551.58,566.21,546.98,563.46,39563564,1018731,556.832639,TSLA
2021-05-20,575.0,588.85,571.07,586.78,30821524,663607,580.210019,TSLA
2021-05-21,596.68,596.68,580.0,580.88,26230684,588056,587.435609,TSLA
2021-05-24,581.63,614.48,573.65,606.44,34570666,728785,599.532123,TSLA
2021-05-25,607.31,613.99,595.71,604.69,28005975,620964,602.994592,TSLA
2021-05-26,607.83,626.17,601.5,619.13,28640592,650727,616.945208,TSLA
2021-05-27,620.17,631.13,616.21,630.85,26413339,592404,623.328523,TSLA
2021-05-28,628.5,635.59,622.38,625.22,22736938,541700,628.798132,TSLA
2021-06-01,627.66,633.8,620.55,623.9,18084990,445658,626.333161,TSLA
2021-06-02,620.33,623.36,599.14,605.12,23302828,681174,607.540467,TSLA
